SoilType,pH_Range,OC_Level,N_Level,P_Level,K_Level,Predicted_Health_Class
Silt,Alkaline,Very Low,Excess,Excess,Low,Good
Chalk,Slightly Alkaline,Low,Deficient,High,Low,Critical
Loam,Acidic,Medium,Deficient,Adequate,Adequate,Poor
Clay,Slightly Acidic,High,Low,Adequate,Excess,Good
Silt,Slightly Acidic,Low,Deficient,Low,Adequate,Poor
Clay,Acidic,Very Low,Excess,High,High,Good
Loam,Slightly Acidic,Very Low,Deficient,Adequate,Low,Poor
Loam,Slightly Alkaline,Low,High,Deficient,High,Good
Sand,Slightly Alkaline,Very Low,Excess,Excess,Low,Moderate
Loam,Acidic,Medium,High,Excess,Low,Good
Sand,Neutral,Very High,Deficient,Adequate,High,Poor
Chalk,Slightly Acidic,High,Excess,Adequate,Excess,Poor
Loam,Slightly Acidic,Very Low,High,Excess,Low,Good
Clay,Acidic,High,Adequate,Excess,Adequate,Excellent
Silt,Slightly Alkaline,High,Adequate,Low,Excess,Excellent
Sand,Slightly Acidic,Low,Deficient,Low,High,Excellent
Loam,Slightly Alkaline,Medium,Low,Excess,High,Good
Sand,Slightly Acidic,Medium,Deficient,Adequate,High,Poor
Sand,Acidic,Low,Adequate,Adequate,Deficient,Poor
Silt,Neutral,Very Low,Low,High,Excess,Good
Clay,Acidic,Very Low,Low,Low,Low,Excellent
Clay,Acidic,Very High,Low,Deficient,High,Excellent
Loam,Acidic,Very High,Excess,Adequate,Deficient,Poor
Chalk,Slightly Alkaline,Low,Deficient,Low,Adequate,Good
Loam,Slightly Acidic,Very Low,Excess,Excess,Deficient,Moderate
Sand,Slightly Alkaline,Very High,Low,Adequate,Excess,Good
Chalk,Slightly Alkaline,Medium,High,High,High,Good
Chalk,Neutral,Low,High,Low,Low,Good
Loam,Acidic,Medium,High,Deficient,Excess,Good
Clay,Neutral,Medium,Deficient,Low,Excess,Good
Silt,Acidic,Low,Low,Deficient,Deficient,Poor
Chalk,Neutral,Very Low,Excess,Low,Low,Moderate
Loam,Slightly Alkaline,Very Low,Low,Adequate,Low,Moderate
Silt,Neutral,Very Low,Excess,Excess,Deficient,Critical
Sand,Neutral,Low,Low,Deficient,Low,Critical
Sand,Neutral,Low,Adequate,Adequate,Deficient,Moderate
Silt,Neutral,Medium,Adequate,Adequate,Deficient,Moderate
Loam,Slightly Alkaline,Very Low,Excess,Low,Adequate,Poor
Sand,Slightly Alkaline,Very High,Excess,Adequate,Excess,Poor
Chalk,Neutral,Very Low,Excess,Low,High,Good
Chalk,Alkaline,Very High,Excess,Excess,Adequate,Poor
Silt,Alkaline,Low,Adequate,Deficient,High,Moderate
Sand,Slightly Alkaline,Low,Excess,High,Excess,Good
Sand,Slightly Alkaline,Very High,Low,Excess,Low,Critical
Chalk,Slightly Alkaline,Very High,High,Deficient,Low,Moderate
Silt,Alkaline,Very Low,Adequate,Excess,Deficient,Poor
Chalk,Acidic,High,Deficient,Adequate,Excess,Moderate
Loam,Alkaline,High,Adequate,Deficient,Deficient,Moderate
Clay,Alkaline,Very Low,Low,Deficient,Low,Moderate
Clay,Slightly Alkaline,Low,Adequate,Low,Deficient,Poor
Chalk,Slightly Acidic,Low,Deficient,High,High,Excellent
Sand,Slightly Alkaline,Very Low,Excess,Low,Low,Good
Sand,Alkaline,Medium,Deficient,Adequate,Deficient,Good
Chalk,Acidic,Low,Adequate,Low,Adequate,Moderate
Chalk,Slightly Alkaline,Very Low,High,High,Deficient,Poor
Loam,Slightly Alkaline,High,High,Adequate,Excess,Good
Clay,Slightly Alkaline,Very High,Adequate,Low,Excess,Moderate
Clay,Alkaline,Low,Low,Low,Adequate,Poor
Loam,Neutral,Low,Adequate,High,Adequate,Excellent
Loam,Slightly Acidic,High,Adequate,High,Adequate,Good
Loam,Slightly Alkaline,Very High,Adequate,Excess,Excess,Poor
Loam,Slightly Acidic,Very High,High,Low,Excess,Moderate
Loam,Alkaline,Low,Low,Deficient,High,Moderate
Sand,Acidic,Very High,Excess,Excess,Low,Good
Sand,Slightly Acidic,Very High,Low,Low,Adequate,Moderate
Silt,Slightly Acidic,Very Low,High,Excess,Excess,Moderate
Clay,Acidic,High,Adequate,Low,Low,Good
Clay,Slightly Acidic,Very Low,Adequate,Low,Excess,Poor
Loam,Neutral,Very High,Deficient,Deficient,Adequate,Poor
Clay,Acidic,Medium,Adequate,Low,Excess,Moderate
Silt,Slightly Alkaline,Very Low,Adequate,Adequate,Excess,Critical
Clay,Acidic,Medium,Excess,Low,Deficient,Good
Loam,Slightly Alkaline,Very High,High,Adequate,High,Excellent
Sand,Slightly Alkaline,Very Low,Deficient,High,High,Poor
Chalk,Slightly Acidic,Medium,High,High,Low,Poor
Loam,Slightly Acidic,Very Low,Excess,Excess,High,Poor
Silt,Slightly Acidic,Medium,Low,Adequate,High,Good
Loam,Acidic,High,Deficient,Excess,High,Excellent
Loam,Alkaline,Medium,Deficient,Low,Deficient,Poor
Loam,Slightly Alkaline,Very Low,Deficient,Low,Adequate,Good
Sand,Neutral,High,Low,Excess,Low,Good
Chalk,Alkaline,Low,Low,Adequate,Low,Good
Silt,Slightly Acidic,High,Deficient,Adequate,High,Moderate
Sand,Alkaline,Low,High,Low,Excess,Good
Sand,Acidic,Low,High,Low,Low,Moderate
Chalk,Alkaline,Very Low,Excess,Deficient,High,Good
Clay,Slightly Alkaline,High,Deficient,Deficient,Low,Poor
Chalk,Alkaline,Very Low,High,Low,Excess,Poor
Loam,Slightly Acidic,Medium,Deficient,Adequate,Low,Moderate
Loam,Alkaline,High,Excess,Deficient,Deficient,Excellent
Sand,Slightly Acidic,Medium,Adequate,Low,Adequate,Good
Chalk,Neutral,High,High,Deficient,Adequate,Poor
Sand,Slightly Acidic,Medium,Deficient,High,Deficient,Excellent
Clay,Slightly Alkaline,Very High,High,High,Low,Poor
Clay,Acidic,Very Low,Deficient,Adequate,Deficient,Poor
Chalk,Acidic,Low,Adequate,High,Adequate,Poor
Sand,Slightly Acidic,High,Low,Deficient,Excess,Poor
Sand,Neutral,Low,Low,Excess,Deficient,Good
Chalk,Slightly Alkaline,Very Low,Deficient,Excess,Excess,Good
Silt,Acidic,Very Low,Deficient,Excess,Low,Good
Silt,Alkaline,Medium,Excess,High,Deficient,Poor
Clay,Neutral,Very Low,Low,Excess,Low,Poor
Clay,Acidic,Very Low,Low,Adequate,Deficient,Good
Silt,Acidic,High,Adequate,Adequate,Deficient,Moderate
Chalk,Acidic,Low,Low,Excess,Low,Poor
Silt,Alkaline,Low,High,Excess,High,Moderate
Clay,Neutral,Low,Low,Adequate,Excess,Good
Sand,Alkaline,Very Low,Adequate,Deficient,Deficient,Good
Clay,Slightly Acidic,Low,High,Excess,Deficient,Poor
Sand,Acidic,Medium,Deficient,Low,Low,Moderate
Chalk,Alkaline,Medium,Low,Low,Deficient,Poor
Chalk,Neutral,Very High,Excess,Deficient,High,Poor
Chalk,Alkaline,High,Excess,Excess,Adequate,Critical
Loam,Slightly Acidic,Very High,Excess,Excess,High,Good
Chalk,Acidic,Low,Low,Excess,Adequate,Good
Chalk,Slightly Alkaline,High,Low,Excess,Adequate,Good
Clay,Acidic,Very Low,Excess,Low,Deficient,Poor
Sand,Acidic,High,High,Excess,High,Poor
Loam,Slightly Acidic,Medium,Excess,Deficient,Deficient,Poor
Clay,Slightly Acidic,Low,High,Low,Deficient,Good
Clay,Neutral,High,Adequate,Low,Excess,Poor
Sand,Neutral,Very High,Excess,Low,Low,Good
Loam,Neutral,Very Low,Adequate,Adequate,Excess,Good
Clay,Neutral,Medium,High,Adequate,Adequate,Excellent
Loam,Neutral,High,Deficient,High,High,Moderate
Loam,Acidic,High,Adequate,High,Low,Good
Chalk,Neutral,Low,Low,Adequate,Excess,Excellent
Silt,Slightly Acidic,Very High,Adequate,Excess,High,Good
Sand,Acidic,Very High,Adequate,Excess,High,Good
Silt,Alkaline,High,High,Deficient,Adequate,Excellent
Silt,Slightly Acidic,High,Low,Excess,High,Excellent
Chalk,Slightly Alkaline,Very Low,Adequate,High,Low,Critical
Sand,Slightly Acidic,Very Low,High,Adequate,High,Excellent
Silt,Neutral,Very High,Low,Adequate,High,Poor
Sand,Acidic,Very Low,Low,Excess,Adequate,Good
Silt,Alkaline,Very Low,Excess,Deficient,Deficient,Poor
Clay,Slightly Alkaline,Medium,Low,Excess,Deficient,Moderate
Clay,Acidic,Low,Excess,Adequate,Deficient,Good
Loam,Neutral,Low,Adequate,Deficient,Adequate,Poor
Chalk,Alkaline,Very High,Low,High,Excess,Good
Chalk,Slightly Alkaline,Very High,Adequate,Low,Deficient,Good
Silt,Slightly Alkaline,Very Low,High,Deficient,High,Excellent
Silt,Neutral,High,Low,Adequate,Excess,Critical
Silt,Neutral,Medium,Deficient,Adequate,High,Good
Sand,Alkaline,Very Low,Excess,High,High,Poor
Chalk,Slightly Alkaline,Very High,High,High,Low,Excellent
Chalk,Acidic,High,Adequate,Low,High,Excellent
Clay,Slightly Alkaline,Very High,High,High,Deficient,Good
Chalk,Slightly Acidic,Medium,Deficient,Deficient,Low,Moderate
Chalk,Neutral,Low,Excess,Low,Excess,Critical
Sand,Neutral,Medium,Adequate,Adequate,Low,Poor
Sand,Slightly Alkaline,Medium,Adequate,Low,Deficient,Poor
Clay,Acidic,Very High,Low,Low,Deficient,Moderate
Clay,Neutral,High,Low,Excess,Excess,Moderate
Loam,Alkaline,Medium,Excess,High,Deficient,Excellent
Chalk,Slightly Acidic,Very Low,High,Deficient,Excess,Critical
Silt,Neutral,High,Deficient,Low,Deficient,Moderate
Clay,Acidic,Very Low,Excess,Adequate,Adequate,Good
Sand,Neutral,Very High,Adequate,Excess,Deficient,Critical
Silt,Acidic,Medium,High,Adequate,Deficient,Good
Sand,Acidic,Low,Adequate,Low,Excess,Critical
Clay,Slightly Alkaline,Low,High,High,Deficient,Critical
Clay,Acidic,Medium,Adequate,High,Low,Good
Loam,Neutral,Very Low,Low,Adequate,Low,Moderate
Sand,Slightly Acidic,Very High,Low,Low,Deficient,Poor
Clay,Slightly Alkaline,Very Low,Excess,Low,Deficient,Critical
Sand,Slightly Acidic,High,Deficient,Excess,Deficient,Excellent
Chalk,Neutral,Low,Deficient,Low,Deficient,Good
Silt,Slightly Alkaline,Low,Adequate,Adequate,High,Critical
Chalk,Slightly Acidic,Very Low,Excess,Excess,Deficient,Moderate
Sand,Alkaline,Very Low,High,Excess,Excess,Moderate
Silt,Slightly Alkaline,Low,High,Low,Excess,Poor
Chalk,Neutral,Medium,Adequate,Deficient,High,Moderate
Silt,Slightly Alkaline,Very Low,Deficient,Adequate,Deficient,Moderate
Loam,Neutral,Very Low,Deficient,Deficient,High,Good
Chalk,Slightly Acidic,Low,Low,Deficient,Deficient,Moderate
Clay,Slightly Acidic,High,Excess,Deficient,Adequate,Moderate
Sand,Slightly Acidic,Medium,High,Deficient,Low,Poor
Clay,Acidic,Very Low,High,Deficient,Deficient,Poor
Sand,Neutral,Very High,Adequate,Low,High,Good
Silt,Neutral,Medium,Deficient,Deficient,Deficient,Good
Loam,Acidic,Very High,Excess,Adequate,Excess,Good
Sand,Alkaline,High,Deficient,Deficient,Low,Good
Clay,Alkaline,Medium,Adequate,Deficient,Adequate,Poor
Sand,Alkaline,Low,Adequate,Excess,High,Excellent
Silt,Alkaline,High,Low,Deficient,Low,Poor
Loam,Slightly Acidic,Very High,High,Adequate,High,Critical
Clay,Slightly Alkaline,Very High,Low,Low,Adequate,Poor
Chalk,Alkaline,Very Low,Deficient,Low,Low,Good
Chalk,Alkaline,Low,Adequate,High,Deficient,Critical
Loam,Slightly Acidic,Low,Excess,Adequate,Deficient,Good
Loam,Acidic,Low,Adequate,Deficient,Excess,Poor
Chalk,Acidic,Medium,Excess,High,Low,Excellent
Loam,Slightly Acidic,Low,Deficient,Low,Excess,Moderate
Silt,Slightly Acidic,High,Adequate,High,High,Moderate
Loam,Alkaline,Low,Low,Adequate,Low,Moderate
Sand,Acidic,Very Low,Deficient,High,Low,Moderate
Sand,Acidic,Low,Adequate,High,Deficient,Poor
Silt,Neutral,Low,High,Low,Excess,Good
Clay,Alkaline,High,Deficient,Adequate,High,Good
Chalk,Alkaline,Very Low,Excess,Low,High,Good
Silt,Slightly Alkaline,Very High,Low,High,High,Critical
Clay,Slightly Acidic,Very High,Low,Adequate,Adequate,Good
Sand,Slightly Acidic,Very Low,Excess,Deficient,Excess,Good
Sand,Slightly Alkaline,Medium,Deficient,Excess,Adequate,Good
Loam,Neutral,Low,Low,Excess,High,Good
Chalk,Slightly Acidic,High,Adequate,High,Excess,Moderate
Sand,Slightly Alkaline,Very Low,Adequate,Adequate,Low,Good
Clay,Alkaline,High,Adequate,Adequate,Adequate,Excellent
Chalk,Acidic,Very High,Excess,Adequate,Excess,Moderate
Silt,Acidic,Low,Low,Excess,Excess,Poor
Sand,Slightly Alkaline,High,Adequate,Deficient,High,Poor
Loam,Neutral,Low,Deficient,High,Low,Good
Sand,Alkaline,Medium,Deficient,Deficient,Deficient,Good
Clay,Neutral,Very High,Low,Deficient,Low,Good
Loam,Alkaline,Very High,Adequate,Excess,High,Critical
Loam,Neutral,Medium,Deficient,Deficient,Deficient,Good
Chalk,Acidic,High,Deficient,Deficient,Adequate,Critical
Clay,Neutral,High,Low,Deficient,Excess,Good
Silt,Neutral,Very High,High,Excess,Low,Good
Chalk,Slightly Acidic,High,Excess,Low,Deficient,Good
Loam,Alkaline,Medium,High,Excess,Deficient,Good
Chalk,Alkaline,High,Deficient,Deficient,High,Good
Chalk,Acidic,High,Low,Deficient,Low,Good
Silt,Slightly Alkaline,Low,Excess,High,High,Poor
Chalk,Acidic,Low,Excess,Adequate,Deficient,Good
Clay,Slightly Alkaline,Medium,Low,High,Deficient,Poor
Sand,Alkaline,Medium,Excess,Low,Excess,Poor
Sand,Neutral,Very Low,Low,Low,Adequate,Good
Sand,Slightly Acidic,High,Low,Excess,Adequate,Excellent
Chalk,Neutral,High,High,Low,High,Good
Silt,Acidic,Very Low,Low,Low,Adequate,Good
Sand,Alkaline,Low,Low,Adequate,Low,Good
Sand,Acidic,High,High,Deficient,Adequate,Poor
Clay,Slightly Alkaline,Medium,Adequate,Low,Excess,Moderate
Loam,Slightly Alkaline,Very Low,Adequate,Adequate,Low,Poor
Silt,Acidic,High,Excess,Deficient,Adequate,Poor
Loam,Acidic,High,Adequate,Deficient,Adequate,Good
Sand,Acidic,Very Low,Low,Deficient,Excess,Poor
Clay,Neutral,Very Low,Deficient,Low,Deficient,Moderate
Chalk,Neutral,High,Deficient,Deficient,Low,Good
Clay,Acidic,High,Adequate,Excess,High,Critical
Chalk,Slightly Alkaline,Medium,Excess,High,Excess,Excellent
Loam,Slightly Alkaline,Medium,Low,Low,Excess,Poor
Chalk,Neutral,Low,Low,Adequate,Adequate,Poor
Clay,Alkaline,Very High,Deficient,Low,Excess,Critical
Loam,Slightly Acidic,Very High,Deficient,High,High,Excellent
Silt,Acidic,Medium,Excess,Excess,High,Critical
Loam,Acidic,Very High,Low,Deficient,Low,Moderate
Clay,Alkaline,Medium,Adequate,Adequate,Excess,Moderate
Silt,Slightly Alkaline,Very Low,Deficient,Excess,Excess,Good
Chalk,Neutral,Low,Excess,Low,High,Moderate
Loam,Acidic,Medium,High,Excess,Adequate,Poor
Silt,Acidic,Very Low,Low,High,Low,Moderate
Chalk,Acidic,Low,Deficient,Deficient,High,Poor
Chalk,Slightly Alkaline,Low,Adequate,Low,Excess,Excellent
Loam,Neutral,Very High,Low,High,High,Excellent
Clay,Neutral,High,Excess,Adequate,Adequate,Poor
Loam,Slightly Alkaline,Very Low,High,Deficient,Excess,Moderate
Silt,Slightly Alkaline,Low,Excess,Low,Adequate,Good
Silt,Slightly Acidic,Very Low,Excess,Deficient,Adequate,Good
Loam,Alkaline,Very High,Adequate,Excess,High,Good
Loam,Alkaline,Very Low,Low,Low,Adequate,Good
Chalk,Alkaline,Medium,Low,Excess,High,Poor
Sand,Slightly Acidic,Very High,Adequate,Low,High,Moderate
Clay,Acidic,Low,Adequate,Excess,Adequate,Critical
Loam,Alkaline,Very High,Deficient,High,Excess,Excellent
Silt,Slightly Acidic,Low,Excess,Excess,Low,Moderate
Sand,Alkaline,High,Low,High,Excess,Good
Chalk,Slightly Alkaline,Low,High,Low,Adequate,Moderate
Silt,Slightly Alkaline,High,High,High,Adequate,Critical
Loam,Slightly Acidic,Very High,High,Excess,Excess,Good
Clay,Acidic,High,Deficient,Low,Excess,Good
Loam,Slightly Acidic,Very Low,Low,Adequate,Low,Critical
Chalk,Acidic,Medium,Low,Excess,Excess,Poor
Chalk,Acidic,Very Low,Excess,Low,Excess,Good
Chalk,Slightly Alkaline,High,Deficient,Adequate,High,Excellent
Clay,Neutral,Very Low,Adequate,High,Low,Critical
Clay,Neutral,Very High,Excess,Low,Adequate,Excellent
Clay,Acidic,Low,Low,Excess,Deficient,Good
Silt,Neutral,Very Low,High,Adequate,Excess,Poor
Sand,Slightly Acidic,Very High,Deficient,Adequate,Deficient,Moderate
Silt,Acidic,High,Excess,Low,Low,Good
Chalk,Alkaline,Medium,Excess,High,Excess,Good
Silt,Slightly Acidic,High,Adequate,Low,High,Poor
Sand,Alkaline,Very High,Adequate,Excess,Low,Poor
Chalk,Neutral,Medium,Low,Excess,High,Excellent
Sand,Acidic,Very High,Deficient,Adequate,Adequate,Good
Clay,Slightly Alkaline,High,High,Low,Excess,Good
Silt,Slightly Alkaline,Very High,Excess,Low,Deficient,Poor
Loam,Slightly Acidic,Medium,High,Excess,Low,Moderate
Silt,Slightly Alkaline,High,High,High,High,Poor
Loam,Slightly Acidic,Medium,High,Adequate,High,Critical
Clay,Acidic,Very High,Excess,Low,Low,Moderate
Loam,Slightly Alkaline,High,Excess,High,Excess,Moderate
Chalk,Neutral,High,Adequate,Low,Deficient,Good
Loam,Neutral,Low,Adequate,Adequate,Low,Good
Loam,Slightly Alkaline,Medium,Excess,Low,Deficient,Moderate
Loam,Slightly Acidic,Low,Low,Adequate,Excess,Good
Chalk,Slightly Acidic,Very Low,Adequate,Low,Excess,Good
Clay,Slightly Acidic,Very Low,Low,Deficient,Adequate,Excellent
Loam,Slightly Acidic,Very Low,Excess,Deficient,Deficient,Critical
Sand,Acidic,Low,Deficient,High,High,Poor
Chalk,Acidic,High,Excess,Low,Deficient,Moderate
Sand,Neutral,Low,Excess,Deficient,Low,Good
Silt,Neutral,Low,High,Low,Adequate,Good
Sand,Slightly Alkaline,Medium,Excess,High,Low,Moderate
Loam,Neutral,High,Adequate,Excess,Adequate,Good
Clay,Acidic,Low,Excess,High,Excess,Good
Clay,Alkaline,Medium,Excess,Deficient,Low,Moderate
Silt,Slightly Acidic,High,Adequate,High,High,Good
Chalk,Acidic,Very Low,Adequate,Low,Low,Good
Loam,Alkaline,Very High,Deficient,Deficient,Adequate,Moderate
Chalk,Acidic,Very High,Adequate,High,High,Good
Silt,Slightly Alkaline,Medium,Deficient,Low,Excess,Moderate
Sand,Slightly Acidic,High,High,Low,High,Moderate
Chalk,Neutral,Very High,Excess,Adequate,Excess,Good
Silt,Acidic,High,Deficient,Adequate,Deficient,Poor
Silt,Slightly Alkaline,Very Low,Adequate,Excess,Adequate,Good
Silt,Alkaline,Very High,Adequate,Adequate,Excess,Excellent
Clay,Acidic,Very High,High,Excess,High,Poor
Silt,Slightly Acidic,Very High,Low,High,High,Good
Chalk,Slightly Alkaline,Very Low,High,Deficient,Excess,Excellent
Chalk,Acidic,Very High,Adequate,High,Deficient,Poor
Clay,Neutral,High,Deficient,Deficient,Adequate,Good
Chalk,Acidic,Low,Deficient,Deficient,Deficient,Moderate
Chalk,Alkaline,High,Low,Excess,Low,Poor
Chalk,Acidic,High,Low,Deficient,Adequate,Good
Loam,Alkaline,Very High,Adequate,High,High,Excellent
Clay,Acidic,Very Low,Excess,Low,Excess,Excellent
Clay,Slightly Acidic,Very High,Excess,Adequate,High,Good
Clay,Neutral,Medium,Adequate,High,High,Good
Sand,Slightly Alkaline,High,Deficient,High,High,Good
Loam,Alkaline,Medium,Low,Excess,Low,Good
Loam,Alkaline,Very High,Deficient,Deficient,Adequate,Good
Silt,Neutral,Medium,Low,Adequate,Deficient,Critical
Silt,Acidic,Medium,High,Deficient,Low,Poor
Sand,Alkaline,Medium,Deficient,High,Adequate,Critical
Chalk,Neutral,High,Excess,Adequate,High,Good
Chalk,Neutral,Low,Adequate,Adequate,High,Moderate
Chalk,Neutral,Medium,Deficient,Deficient,Excess,Critical
Chalk,Alkaline,Low,Adequate,Deficient,Low,Good
Clay,Acidic,Very High,Excess,Adequate,Low,Good
Silt,Alkaline,High,Adequate,Adequate,Low,Critical
Chalk,Slightly Acidic,Very High,Low,Low,High,Moderate
Loam,Slightly Acidic,Very Low,Excess,Low,Adequate,Good
Loam,Slightly Acidic,Very Low,Low,Deficient,Adequate,Moderate
Loam,Alkaline,High,Low,Low,Low,Good
Silt,Neutral,Low,Low,Excess,Excess,Poor
Silt,Alkaline,Medium,Low,Low,Low,Good
Sand,Acidic,Very High,Excess,Deficient,Adequate,Good
Clay,Acidic,Very Low,Adequate,High,Excess,Good
Clay,Neutral,Very High,Deficient,Excess,High,Moderate
Silt,Slightly Acidic,High,Excess,Excess,Adequate,Poor
Sand,Acidic,Very Low,Adequate,Excess,Adequate,Excellent
Sand,Neutral,Very Low,Excess,Adequate,Low,Good
Sand,Slightly Acidic,Medium,Low,High,Adequate,Good
Silt,Acidic,Low,Low,Adequate,High,Moderate
Chalk,Slightly Alkaline,Medium,Adequate,Low,Low,Critical
Clay,Neutral,Low,Adequate,Adequate,Low,Good
Silt,Slightly Alkaline,Low,High,Adequate,Excess,Excellent
Chalk,Slightly Alkaline,Very High,High,High,Low,Moderate
Silt,Acidic,Low,High,Excess,Adequate,Critical
Clay,Acidic,Very High,Deficient,Deficient,High,Poor
Sand,Slightly Acidic,Very Low,Adequate,Excess,Excess,Good
Loam,Slightly Acidic,Very High,Excess,Excess,Excess,Good
Clay,Acidic,Medium,Low,Excess,Excess,Excellent
Loam,Acidic,High,Excess,Low,Excess,Poor
Silt,Slightly Alkaline,Medium,Low,Low,High,Poor
Sand,Slightly Acidic,Low,Adequate,Adequate,Deficient,Good
Clay,Slightly Acidic,Very High,Excess,Excess,Low,Good
Chalk,Acidic,Medium,Deficient,High,Adequate,Poor
Sand,Slightly Alkaline,High,Low,Deficient,High,Moderate
Chalk,Alkaline,Very High,High,Adequate,Deficient,Good
Clay,Acidic,Very High,Excess,Excess,High,Critical
Silt,Alkaline,Very Low,High,Deficient,Low,Moderate
Loam,Alkaline,Very High,Excess,Deficient,Deficient,Poor
Clay,Neutral,Very High,Low,Adequate,Deficient,Poor
Chalk,Acidic,Very High,Low,Excess,Excess,Moderate
Clay,Acidic,High,Deficient,High,Low,Excellent
Chalk,Neutral,High,Deficient,Adequate,Excess,Good
Clay,Slightly Alkaline,Low,Adequate,Low,Excess,Moderate
Silt,Acidic,Medium,Excess,High,Low,Excellent
Silt,Slightly Acidic,Very Low,Adequate,Low,High,Excellent
Silt,Slightly Acidic,Very Low,High,Deficient,Excess,Excellent
Loam,Acidic,Medium,Adequate,Deficient,Deficient,Poor
Chalk,Acidic,Low,High,Excess,Deficient,Good
Clay,Slightly Alkaline,High,Adequate,Low,Excess,Moderate
Sand,Acidic,Very Low,Low,Excess,Adequate,Moderate
Chalk,Acidic,High,Adequate,Low,Adequate,Poor
Loam,Slightly Alkaline,High,Adequate,Deficient,Deficient,Poor
Sand,Neutral,Low,Adequate,Low,Adequate,Good
Silt,Acidic,Very Low,High,High,Low,Moderate
Sand,Slightly Acidic,Very Low,Adequate,Deficient,Low,Poor
Chalk,Slightly Acidic,Medium,Excess,Low,High,Poor
Chalk,Alkaline,Low,Low,Low,Excess,Poor
Sand,Slightly Acidic,Low,Excess,Excess,Deficient,Good
Loam,Acidic,Very High,Adequate,High,Excess,Moderate
Chalk,Slightly Alkaline,Low,Low,Adequate,Excess,Poor
Clay,Alkaline,Very Low,Adequate,Adequate,High,Moderate
Silt,Acidic,Medium,Adequate,Deficient,High,Critical
Loam,Slightly Acidic,Low,High,Low,High,Moderate
Silt,Neutral,Very High,Deficient,Low,High,Poor
Silt,Slightly Alkaline,Very Low,Adequate,Low,High,Moderate
Sand,Alkaline,High,Excess,Deficient,Deficient,Excellent
Silt,Alkaline,Low,Deficient,High,Low,Good
Chalk,Slightly Acidic,Medium,High,Excess,Low,Critical
Loam,Slightly Acidic,Low,Low,High,Low,Good
Chalk,Neutral,Very Low,Excess,Excess,Low,Moderate
Silt,Alkaline,High,Low,Low,High,Good
Silt,Alkaline,Low,Excess,Low,Deficient,Poor
Sand,Neutral,Medium,Low,Deficient,Excess,Moderate
Silt,Acidic,High,Adequate,High,High,Moderate
Loam,Alkaline,High,High,High,Excess,Good
Sand,Slightly Alkaline,Medium,Deficient,High,Excess,Critical
Sand,Alkaline,Very Low,Low,High,Excess,Good
Loam,Acidic,Medium,Excess,High,Deficient,Poor
Chalk,Slightly Alkaline,Low,Adequate,Excess,High,Good
Clay,Neutral,Very Low,Deficient,Deficient,Adequate,Excellent
Loam,Acidic,Medium,Low,Deficient,Low,Critical
Chalk,Slightly Acidic,Very Low,Low,Deficient,Low,Excellent
Clay,Slightly Alkaline,Low,Adequate,Low,Excess,Poor
Sand,Slightly Acidic,Very High,Low,Deficient,Deficient,Poor
Silt,Slightly Acidic,Low,High,High,Low,Critical
Clay,Alkaline,Medium,Adequate,High,Deficient,Good
Sand,Slightly Acidic,Medium,Excess,Low,Deficient,Moderate
Chalk,Slightly Alkaline,Very High,Excess,Low,Deficient,Good
Silt,Alkaline,Very Low,Adequate,Excess,Low,Moderate
Clay,Neutral,Very High,Excess,Adequate,Low,Excellent
Silt,Slightly Alkaline,Medium,Deficient,Adequate,High,Poor
Silt,Acidic,High,Adequate,Low,High,Good
Silt,Slightly Acidic,Very Low,Adequate,Low,Deficient,Poor
Chalk,Alkaline,Very Low,Adequate,High,Excess,Moderate
Silt,Slightly Acidic,Medium,Low,Excess,Excess,Moderate
Sand,Acidic,Very Low,Low,High,Adequate,Good
Clay,Alkaline,Very Low,High,Excess,High,Moderate
Silt,Acidic,Low,Low,Deficient,Excess,Moderate
Sand,Acidic,Very High,High,Excess,Low,Moderate
Sand,Acidic,Low,Adequate,Low,Low,Good
Silt,Slightly Acidic,Low,Low,Adequate,Adequate,Excellent
Chalk,Acidic,High,Low,Low,Low,Moderate
Loam,Neutral,Very Low,Low,Excess,High,Good
Sand,Acidic,Medium,Excess,Deficient,High,Good
Sand,Slightly Acidic,Very Low,Low,Low,Excess,Excellent
Chalk,Slightly Alkaline,High,Adequate,Deficient,Excess,Moderate
Chalk,Slightly Acidic,Very High,High,Low,Deficient,Good
Chalk,Alkaline,Low,High,High,Deficient,Good
Clay,Neutral,Very High,High,Excess,High,Good
Clay,Slightly Alkaline,Very Low,Low,Adequate,Deficient,Moderate
Loam,Slightly Acidic,Medium,Deficient,Adequate,Adequate,Moderate
Chalk,Neutral,Very Low,Adequate,Excess,High,Moderate
Silt,Acidic,Low,Deficient,Adequate,Excess,Good
Sand,Slightly Acidic,Very Low,Deficient,Excess,Deficient,Poor
Silt,Acidic,Very High,Excess,Excess,Excess,Good
Silt,Acidic,Very Low,Deficient,Excess,Excess,Poor
Chalk,Acidic,Very Low,High,Excess,Adequate,Good
Sand,Slightly Alkaline,Very Low,Low,Deficient,Excess,Good
Sand,Slightly Alkaline,Very High,High,Adequate,Low,Moderate
Loam,Alkaline,Very High,Excess,Low,Adequate,Moderate
Chalk,Acidic,Very High,Excess,Deficient,Adequate,Good
Loam,Alkaline,Very Low,Low,Adequate,Excess,Good
Sand,Neutral,Very Low,High,Excess,Excess,Good
Silt,Acidic,Low,Adequate,Deficient,High,Excellent
